COD_MIC;POP_ESTIM
11001;676286
11002;84771
11003;206332
11004;294493
11005;69746
11006;236722
11007;161798
11008;47077
12001;157132
12002;85664
12003;61847
12004;505863
12005;71429
13001;117676
13002;20979
13003;251867
13004;152530
13005;89430
13006;181118
13007;2468200
13008;69626
13009;180099
13010;280875
13011;53734
13012;78854
13013;199609
14001;444920
14002;52593
14003;51729
14004;56519
15001;209139
15002;512383
15003;75244
15004;153746
15005;232284
15006;178169
15007;2363360
15008;343919
15009;271823
15010;424088
15011;498315
15012;340789
15013;483723
15014;221135
15015;309141
15016;384726
15017;349321
15018;217674
15019;324525
15020;333871
15021;196972
15022;162434
16001;38387
16002;31544
16003;687827
16004;87973
17001;215893
17002;319685
17003;149165
17004;127871
17005;150776
17006;404882
17007;80184
17008;124410
21001;191282
21002;1432529
21003;178491
21004;197301
21005;604575
21006;236106
21007;241976
21008;666083
21009;600199
21010;424583
21011;336315
21012;199535
21013;146372
21014;245029
21015;278462
21016;93840
21017;445103
21018;221411
21019;120372
21020;143297
21021;72320
22001;344711
22002;320438
22003;1058840
22004;228172
22005;135025
22006;106786
22007;46738
22008;42261
22009;124973
22010;93348
22011;142395
22012;86346
22013;208504
22014;60837
22015;273853
23001;389324
23002;320838
23003;59772
23004;26771
23005;414924
23006;140328
23007;74023
23008;228728
23009;116242
23010;110621
23011;92156
23012;133417
23013;197767
23014;68392
23015;145883
23016;3668971
23017;139540
23018;249284
23019;288042
23020;152136
23021;224884
23022;118788
23023;332877
23024;64245
23025;44221
23026;233678
23027;100198
23028;57992
23029;100042
23030;58845
23031;95296
23032;577939
23033;105914
24001;379953
24002;75360
24003;41188
24004;154407
24005;66914
24006;117812
24007;66892
24008;59555
24009;52550
24010;63299
24011;105299
24012;124144
24013;67980
24014;143150
24015;251528
24016;91925
24017;328190
24018;1174174
24019;142533
25001;123105
25002;177393
25003;189553
25004;134611
25005;71237
25006;85863
25007;122149
25008;41092
25009;79134
25010;128265
25011;67027
25012;128388
25013;96326
25014;57335
25015;115979
25016;171265
25017;534144
25018;111566
25019;54388
25020;152330
25021;140071
25022;1147967
25023;88939
26001;333854
26002;172795
26003;332581
26004;233991
26005;514528
26006;148561
26007;196573
26008;940713
26009;319304
26010;260135
26011;470577
26012;225062
26013;568724
26014;231668
26015;605127
26016;190452
26017;3506113
26018;303252
26019;3061
27001;92052
27002;86428
27003;178395
27004;96234
27005;179383
27006;439919
27007;39799
27008;151846
27009;317733
27010;72047
27011;1245479
27012;307213
27013;130829
28001;173135
28002;74788
28003;67416
28004;174087
28005;116403
28006;124213
28007;94943
28008;52157
28009;59609
28010;100189
28011;961120
28012;165104
28013;135532
29001;342084
29002;118963
29003;182440
29004;492105
29005;181421
29006;182458
29007;180315
29008;302022
29009;394894
29010;338225
29011;254393
29012;1068539
29013;97224
29014;302581
29015;333876
29016;439299
29017;327094
29018;124858
29019;229682
29020;572784
29021;3798807
29022;193787
29023;260825
29024;514082
29025;101803
29026;394309
29027;227808
29028;643604
29029;198234
29030;285265
29031;988370
29032;800913
31001;159350
31002;236461
31003;291306
31004;257882
31005;221964
31006;174836
31007;657908
31008;44756
31009;73504
31010;84446
31011;207574
31012;161963
31013;82547
31014;187399
31015;274515
31016;119470
31017;153138
31018;922210
31019;210531
31020;273103
31021;201398
31022;393297
31023;230801
31024;104433
31025;158050
31026;180069
31027;435690
31028;82814
31029;137571
31030;5230438
31031;404510
31032;64766
31033;190682
31034;271313
31035;134798
31036;80632
31037;435461
31038;65052
31039;574414
31040;266686
31041;152223
31042;86090
31043;560534
31044;159690
31045;118013
31046;132655
31047;241828
31048;278844
31049;241122
31050;473195
31051;370919
31052;365331
31053;151211
31054;220614
31055;75050
31056;197606
31057;163196
31058;193954
31059;237431
31060;187151
31061;295465
31062;229266
31063;290707
31064;294745
31065;787723
31066;226490
32001;93942
32002;136024
32003;218697
32004;59267
32005;218335
32006;374642
32007;142481
32008;113281
32009;1832969
32010;215916
32011;166978
32012;361697
32013;84421
33001;208046
33002;127322
33003;637347
33004;320901
33005;165450
33006;66592
33007;245192
33008;30387
33009;216632
33010;645100
33011;727517
33012;186181
33013;246950
33014;175076
33015;510580
33016;119138
33017;259799
33018;12376733
35001;155797
35002;111202
35003;154410
35004;861433
35005;243970
35006;49459
35007;72503
35008;87478
35009;146776
35010;234560
35011;103577
35012;427758
35013;438608
35014;1199647
35015;116450
35016;193447
35017;282943
35018;289042
35019;175920
35020;617458
35021;385368
35022;200331
35023;235497
35024;561366
35025;347892
35026;270595
35027;651955
35028;623903
35029;203225
35030;433052
35031;429645
35032;3049716
35033;198452
35034;126198
35035;169134
35036;614262
35037;114159
35038;356935
35039;285597
35040;314206
35041;253893
35042;219698
35043;303185
35044;133637
35045;204149
35046;1524115
35047;735587
35048;577879
35049;74430
35050;1604628
35051;437056
35052;27749
35053;72466
35054;336281
35055;251524
35056;255569
35057;1971307
35058;531982
35059;1526392
35060;1157544
35061;15041894
35062;1505563
35063;1638595
41001;287446
41002;276371
41003;160642
41004;107321
41005;221542
41006;196789
41007;83316
41008;36028
41009;631531
41010;324742
41011;815425
41012;45807
41013;129407
41014;70435
41015;173119
41016;127472
41017;81425
41018;101960
41019;173355
41020;107762
41021;480512
41022;415601
41023;474925
41024;424700
41025;98351
41026;259793
41027;170267
41028;68608
41029;397970
41030;96967
41031;140608
41032;104492
41033;123616
41034;68815
41035;29278
41036;53011
41037;3477344
41038;297029
41039;100175
42001;179933
42002;450981
42003;163708
42004;352143
42005;147463
42006;256956
42007;138787
42008;1007538
42009;129176
42010;286208
42011;228414
42012;808228
42013;735527
42014;60620
42015;113904
42016;1047383
42017;25453
42018;404645
42019;402494
42020;202376
43001;157111
43002;141009
43003;169698
43004;215216
43005;60355
43006;64171
43007;191083
43008;191721
43009;164455
43010;359285
43011;148729
43012;44004
43013;72595
43014;140356
43015;164051
43016;885085
43017;112761
43018;383080
43019;61990
43020;346436
43021;337180
43022;152683
43023;228872
43024;335569
43025;157111
43026;3886838
43027;397063
43028;139308
43029;358508
43030;181116
43031;178761
43032;119130
43033;502159
43034;51794
43035;274953
50001;151897
50002;112404
50003;129113
50004;1005705
50005;67980
50006;82032
50007;181248
50008;101350
50009;110518
50010;582736
50011;248448
51001;169973
51002;107911
51003;156947
51004;110936
51005;83182
51006;260081
51007;206715
51008;36702
51009;132443
51010;116230
51011;69812
51012;75369
51013;171442
51014;110923
51015;33376
51016;30959
51017;947114
51018;141002
51019;106060
51020;55941
51021;319427
51022;41921
52001;79706
52002;85981
52003;57633
52004;238233
52005;69670
52006;251336
52007;617292
52008;56463
52009;117838
52010;2543086
52011;123040
52012;1287675
52013;548688
52014;126252
52015;409691
52016;100780
52017;176527
52018;128463
53001;3015268
